Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
cos(hue),-0.6284295125093108,-0.6598006343003817,0.9175255327699468,-0.6907327407530146,-0.9774377815353631,0.5622921061874394,nan,0.26897831404408673,0.34041423943299476,-0.9315247144582839,1.0,-0.5782330919349657,-0.026978058237362604,-0.2616189626280656,-0.26258102273658473,-0.9315247389774985,0.14017533468516383,0.44858725771320596,-0.5616977533836423,0.21410321219179107
m0/gamma,0.7327535523175333,0.7378390806811581,-0.4065391140351317,0.8198103110298537,0.6823094615775179,-0.9960577814323149,nan,-0.4261341514742158,-0.5124292779963099,0.7396905450564142,-0.5782330919349656,1.0,0.0015162249264358768,0.41752977645347644,0.42176895435591016,0.7396905331549726,-0.07058208325968454,-0.49555611286780804,0.728281991693034,-0.7310893442452993
x/r^3,0.20591523033701578,0.0954811983657596,-0.0019499108521131713,0.07277483255817645,0.06315410797688063,0.0005753057829304345,nan,-0.21038050037533407,-0.1881746235154161,0.08059765273315188,-0.026978058237362608,0.0015162249264358768,1.0,0.1765075101550902,0.21980286054052064,0.08059762698481761,0.6711421769489077,0.15628143234107317,0.1915672864639157,0.15571670863229756
y/r^3,0.47310476760315295,0.5403109579350878,-0.17580738153170225,0.5789143518651971,0.3297862960151462,-0.44189400046925714,nan,-0.9979042183207875,-0.9808253410852061,0.36629864633984754,-0.2616189626280656,0.4175297764534765,0.1765075101550902,1.0,0.9976117432094929,0.36629871309631523,-0.029297359579245754,-0.47525340153637446,0.6779456655373405,-0.42106684408422895
z/r^3,0.47415404426343527,0.5381643561753188,-0.1751989185510206,0.5811605801160271,0.3313183426805432,-0.44491139917696004,nan,-0.9999177224655049,-0.9797265291410796,0.36842758678349247,-0.26258102273658473,0.42176895435591016,0.21980286054052064,0.997611743209493,0.9999999999999998,0.3684276586161253,-0.022872182170295074,-0.4373970193376811,0.676231406768185,-0.4293820991689764
K_sync,0.8253585580933572,0.8140178152241794,-0.7489393332255823,0.8523870784497501,0.9868703735226214,-0.7192787318858648,nan,-0.37402454344530256,-0.4696255486283535,0.9999999998440854,-0.9315247389774984,0.7396905331549726,0.08059762698481761,0.36629871309631523,0.36842765861612536,1.0,0.005500895521042107,-0.5686415044218506,0.7550287872252832,-0.4267292292501624
F_pauli_x,0.34741219565589626,0.1786702459922692,0.17986479790134627,0.03520874805516049,-0.047887585589755935,0.0692145576200715,nan,0.030136148883415786,0.013612284733954896,0.005501055652085822,0.14017533468516385,-0.07058208325968454,0.6711421769489077,-0.029297359579245758,-0.022872182170295074,0.0055008955210421075,0.9999999999999999,-0.1496788614586704,0.21562709365806687,0.2426621168080477
F_pauli_y,-0.6742321697113283,-0.7282532356103955,0.3331858801071601,-0.6936720294166698,-0.5307582043266594,0.5018886286282352,nan,0.442897948290243,0.5703242824270709,-0.5686415795031203,0.44858725771320596,-0.495556112867808,0.15628143234107317,-0.4752534015363745,-0.43739701933768105,-0.5686415044218506,-0.14967886145867043,0.9999999999999999,-0.7802994947491723,0.3856049214769398
F_pauli_z,0.9319067083168517,0.9576645123568369,-0.400779645991653,0.95741290550591,0.6900342056743517,-0.7214888319491675,nan,-0.6794929338192712,-0.7941899815648964,0.7550288230571717,-0.5616977533836424,0.728281991693034,0.1915672864639157,0.6779456655373405,0.676231406768185,0.7550287872252832,0.21562709365806687,-0.7802994947491722,1.0,-0.6574823244971401
F_torsion,-0.5612906346469679,-0.6138463170425819,0.026662272549926282,-0.7213426160998524,-0.33897734438866844,0.7264349807523179,nan,0.43347080293769963,0.5265489996120594,-0.426729172157133,0.21410321219179107,-0.7310893442452993,0.15571670863229758,-0.42106684408422895,-0.4293820991689764,-0.4267292292501623,0.2426621168080477,0.38560492147693987,-0.6574823244971401,1.0
