Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
cos(hue),0.0007345162405662552,-0.0010274880661647263,-0.0009681508810952261,0.0004330022177405909,0.0008923718037226482,0.0007064960797659431,nan,-5.3132851781137464e-05,-8.440187944374922e-05,6.443217100432345e-05,1.0,-0.0007063882027113985,7.160273590710549e-05,5.3129099976887526e-05,5.313092302549751e-05,-0.00121718338456436,0.4085432183629541,0.4904367949153014,-0.8072387233321344,-0.0001454901420379101
m0/gamma,0.6905360341594581,-0.7911806779509398,-0.7569580771795124,0.7673272315053896,0.7969814348764394,-0.9999999041866772,nan,-0.2744011707447831,-0.3479975567440174,0.001156507344725957,-0.0007063882027113984,1.0,0.010800277512868165,0.27439969828705046,0.2743968509840025,0.0011558496016422116,-0.000636441914485403,0.0001961338556843103,6.182405555244415e-05,-0.5127131751461039
x/r^3,0.2162520120559035,-0.011586907733187617,0.03294673155416554,0.03327339658175804,0.1758753941574382,-0.01079911860776052,nan,-0.021879862050368473,-0.026526682619595565,-0.00020549141629204543,7.160273590710549e-05,0.010800277512868165,1.0,0.02188115917347166,0.021896879193518636,-0.00020531945325030112,-8.218580438627268e-05,2.2202358262655303e-05,-6.283880909821597e-05,-0.17883098203230652
y/r^3,0.39624400405156807,-0.201025377826188,-0.14023517225237972,0.5756281666888933,0.3843130636283184,-0.27440221478494525,nan,-0.9999999991724233,-0.9845505276769775,0.0004984936497822616,5.312909997688753e-05,0.27439969828705046,0.02188115917347166,1.0,0.9999999989628588,0.0004979304977441687,0.00017681055161027786,-5.199843262665282e-05,4.276998098713682e-05,-0.7521620475833494
z/r^3,0.3962440746737993,-0.20102423029878366,-0.1402326997690215,0.5756238835467962,0.38431241898459695,-0.2743993666949624,nan,-0.9999999998267398,-0.9845488453086645,0.0004984848490100093,5.313092302549751e-05,0.27439685098400246,0.021896879193518636,0.9999999989628588,1.0,0.0004979217060513376,0.00017681040752959537,-5.199432848720844e-05,4.276589173163439e-05,-0.7521602915959987
K_sync,-0.0006857762074302532,-0.0015433570283997409,-0.0016870567749641527,0.00048539493027060365,-0.0001167273439062134,-0.0011552968988717083,nan,-0.0004979326265304224,-0.0005777056162694344,0.9999982626681957,-0.0012171833845643597,0.0011558496016422116,-0.00020531945325030112,0.0004979304977441687,0.0004979217060513377,1.0,-0.00034907982986399146,9.621631406752808e-05,-0.00015932141887868676,-0.0007393909886521153
F_pauli_x,-0.000318844948925244,-0.00038631175013991077,-0.00043752058937811256,0.00013019319914632974,-0.00014597166724061446,0.0006366694485386402,nan,-0.0001768120397731032,-0.0002026422919695686,0.00046259845547968,0.40854321836295404,-0.000636441914485403,-8.218580438627266e-05,0.00017681055161027786,0.00017681040752959537,-0.0003490798298639915,1.0,-0.04774101215868254,-0.1651061387842621,-0.0002002646552477051
F_pauli_y,7.73334584236697e-05,0.00013120877344276663,0.00014794076235178163,-4.6049354264666816e-05,2.4435557363831015e-05,-0.00019618950680636357,nan,5.199750991082984e-05,6.005290710401613e-05,-0.0001528571769804453,0.4904367949153014,0.00019613385568431027,2.2202358262655303e-05,-5.199843262665282e-05,-5.199432848720844e-05,9.621631406752806e-05,-0.04774101215868254,1.0,-0.846199954924991,6.104581219043067e-05
F_pauli_z,-0.00044301593156680715,0.0003027224600183828,0.00025504984378168686,-0.00014169956484603834,-0.00044635072795217286,-6.181325777110601e-05,nan,-4.276771078337682e-05,-3.8672626998786866e-05,-0.00048253233629320626,-0.8072387233321344,6.182405555244414e-05,-6.283880909821597e-05,4.276998098713682e-05,4.276589173163439e-05,-0.00015932141887868676,-0.1651061387842621,-0.846199954924991,1.0,-1.192671943362414e-05
F_torsion,-0.7726106965117916,0.38043462738184386,0.2735524243534749,-0.8718623762979307,-0.7438971412324793,0.5127180844636674,nan,0.7521605081918378,0.8465618329164049,-0.0007408464347721629,-0.00014549014203791007,-0.5127131751461039,-0.17883098203230652,-0.7521620475833494,-0.7521602915959987,-0.0007393909886521152,-0.0002002646552477051,6.104581219043067e-05,-1.192671943362414e-05,1.0
