Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
cos(hue),-0.9771113986634663,0.983098003107047,0.9963605174860132,-0.9911675911108413,-0.9841326726032067,0.3419926819725961,nan,0.16075190740636014,0.22294149503469585,-0.7783979043023008,0.9999999999999998,-0.2999308046905472,0.05278743211339213,-0.16038152412162276,-0.1619481819275767,-0.77839792184031,0.2788811043061381,-0.4729743590317085,-0.7307931949302634,0.2422811804228005
m0/gamma,0.4324836842597283,-0.23098670961319281,-0.3040835689628906,0.38793821476581086,0.40608026068834646,-0.9672372935714207,nan,-0.4404373984528041,-0.5439492597013706,0.549421398550246,-0.2999308046905472,1.0,-0.024504865547620262,0.4399891915363912,0.4358656146717195,0.5494214155003592,-0.06629089233281522,0.3873336567488648,0.5312218972194707,-0.11479459181681236
x/r^3,-0.013709956075135074,0.04849119762645489,0.054493347040477556,-0.04753579628019862,-0.05293512412941793,0.10117548452249257,nan,-0.005703543947936698,-0.006050396528714216,-0.04888883492727966,0.05278743211339213,-0.024504865547620262,1.0,0.006536048910211791,0.010041986813865254,-0.048888836484120096,0.8763803314445249,-0.02018904963366835,-0.012845881720379653,-0.041789608367187675
y/r^3,0.2503947411691096,-0.12809680069961926,-0.16351514340396156,0.23289186255770883,0.20686817231242186,-0.43174508634034575,nan,-0.9999990065239446,-0.9812785153347824,0.2676461711118251,-0.16038152412162276,0.4399891915363912,0.006536048910211791,1.0,0.9999230793376188,0.2676461787176171,0.03713708060760111,-0.216500234238683,0.4816557924904906,-0.41940079380026585
z/r^3,0.25165421479026484,-0.13145102088793292,-0.1646152572214725,0.23450632661705786,0.20655144026052932,-0.42771262483485595,nan,-0.9999117449658117,-0.980486051827757,0.2627454783549926,-0.16194818192757668,0.4358656146717195,0.010041986813865256,0.9999230793376188,1.0,0.2627454858507265,0.040542097256527944,-0.2191992108837802,0.48549194760943476,-0.4268313395554736
K_sync,0.788336323946506,-0.6559304681909824,-0.8144808539677505,0.7747778052553188,0.87073556312238,-0.5752089545300322,nan,-0.26840514903613355,-0.35492485783517536,0.9999999999576625,-0.77839792184031,0.5494214155003592,-0.048888836484120096,0.2676461787176171,0.26274548585072643,0.9999999999999999,-0.2667304593974021,0.5107640340828464,0.5585282572678937,0.06587751698719221
F_pauli_x,-0.18708022722817177,0.25426232551636085,0.2884093033037068,-0.25088827314404216,-0.2823895446184543,0.22774508837724539,nan,-0.03630589575098078,-0.03360379106439509,-0.26673046118237975,0.27888110430613816,-0.06629089233281522,0.8763803314445249,0.03713708060760112,0.040542097256527944,-0.2667304593974021,1.0,-0.11079420273508427,-0.07910759562643623,-0.08465550611329617
F_pauli_y,0.51282391774505,-0.42862501854379964,-0.4801327680050398,0.49177909329399433,0.50876508560114,-0.3653749789884,nan,0.216091472152106,0.060434569809559295,0.5107640209365847,-0.4729743590317085,0.3873336567488647,-0.02018904963366835,-0.21650023423868303,-0.2191992108837802,0.5107640340828464,-0.11079420273508428,0.9999999999999998,0.446362423052887,0.33486554711873484
F_pauli_z,0.8142344318531979,-0.7373317754814607,-0.7260715899814435,0.7983325973397434,0.7146750674291691,-0.5097238208143755,nan,-0.4818804462551868,-0.5782971431245497,0.5585282559319893,-0.7307931949302634,0.5312218972194706,-0.012845881720379653,0.4816557924904907,0.48549194760943476,0.5585282572678937,-0.07910759562643621,0.44636242305288704,1.0,-0.4938558729445407
F_torsion,-0.2921823729330101,0.3234909794863239,0.2120532145188187,-0.29543692887158485,-0.16983178088688378,0.10416501218039251,nan,0.41893209257206904,0.3890193576951917,0.06587757460453599,0.2422811804228005,-0.11479459181681234,-0.041789608367187675,-0.4194007938002659,-0.42683133955547364,0.06587751698719221,-0.08465550611329618,0.33486554711873484,-0.4938558729445407,1.0
