Feature,x,y,z,r,hue,gamma,m0,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,y/r^3,z/r^3,K_sync,F_pauli_x,F_pauli_y,F_pauli_z,F_torsion
cos(hue),-0.00016387902854481549,-0.0008932675044126955,0.0013599476822357074,-0.0005618570888740963,-0.0005868406311814978,0.0007581899018449251,nan,0.00030723492125314493,0.00037204634445426997,0.000270200482955031,0.9999999999999999,-0.0007583685332604564,5.6146008541613096e-05,-0.0003072309078953524,-0.0003072292345410281,-0.0010138572636243439,0.40915374120013304,0.489741103194891,-0.8067440338184839,0.00045005831153111496
m0/gamma,0.6915613646591805,0.8101912278962249,0.04613474441841105,0.7680123905408137,0.7982300637555698,-0.9999999294767932,nan,-0.2749311096890407,-0.34862470634657294,0.00041858533737043103,-0.0007583685332604564,1.0,0.010796042115583363,0.274927721681003,0.2749283690774666,0.00042209549348297523,-0.0006689990166643179,0.00020680603362034254,7.386796376251366e-05,-0.5136291699406481
x/r^3,0.21602348458739185,0.14613713840426168,0.10399315110222115,0.03323500867319894,0.17536526483555015,-0.010794566768405494,nan,-0.02184137284830422,-0.026488284434279273,-0.00022182578520118376,5.614600854161309e-05,0.010796042115583363,1.0,0.021877939209044385,0.02187202438654868,-0.00022179513129298912,-9.045716007171964e-05,2.486932569205594e-05,-5.95283800828891e-05,-0.17881619790850392
y/r^3,0.3966611380603158,0.46122640465895737,0.22809201978934476,0.5757339037400561,0.3845675738998145,-0.2749295206705616,nan,-0.9999999987508649,-0.9845419260471552,7.92953640910116e-05,-0.0003072309078953524,0.274927721681003,0.021877939209044385,0.9999999999999999,0.9999999994081937,7.992862201578253e-05,-2.4779577739110443e-05,1.2897118734807744e-05,0.00012455652645026715,-0.7522220173660498
z/r^3,0.3966643098014503,0.4612268681084742,0.22809599072539216,0.5757363759827575,0.3845699164540088,-0.27493016778122276,nan,-0.9999999994863754,-0.9845424360612833,7.930064313434426e-05,-0.0003072292345410281,0.27492836907746654,0.02187202438654868,0.9999999994081937,1.0,7.993389665610925e-05,-2.4779484818259565e-05,1.2895422888297144e-05,0.00012455830111206005,-0.7522245696810158
K_sync,-0.0017359495289455858,-0.0016212021891682687,0.0003436038579575552,-0.0006832488692573593,-0.0018576593118697542,-0.0004218915133901936,nan,-7.99334531749366e-05,-4.7711642689422654e-05,0.9999982573556021,-0.0010138572636243439,0.00042209549348297523,-0.00022179513129298915,7.992862201578255e-05,7.993389665610926e-05,1.0,-0.00023367042847354829,5.9115462496013674e-05,-0.00020583222616195402,3.7533231043945065e-05
F_pauli_x,-0.0008216883994833056,-0.0009292824515533457,0.0004694730201961738,-0.00042719579131177956,-0.0009703176246891207,0.0006690953440678203,nan,2.4778753322368423e-05,5.288408087187731e-05,0.0005790694500760475,0.4091537412001331,-0.0006689990166643179,-9.045716007171964e-05,-2.4779577739110443e-05,-2.477948481825956e-05,-0.00023367042847354829,0.9999999999999998,-0.047903561258372376,-0.1652203798269511,0.0001329387649214586
F_pauli_y,0.00023926257374071953,0.00028449947722085546,-0.00016179647449904018,0.00013340232299090488,0.0002901584447755706,-0.00020683659497100926,nan,-1.2897161863147023e-05,-2.219805982505855e-05,-0.00019023273419597865,0.48974110319489106,0.00020680603362034254,2.486932569205594e-05,1.2897118734807746e-05,1.2895422888297144e-05,5.9115462496013674e-05,-0.04790356125837237,1.0,-0.8461741042326678,-4.555451443146766e-05
F_pauli_z,-0.00023894104962302352,3.717453291846826e-05,-0.00041146488933713855,8.435199150878578e-05,-0.00011154017279430835,-7.374967752684684e-05,nan,-0.0001245590309400505,-0.00014232425771539074,-0.00052920327628469,-0.8067440338184839,7.386796376251366e-05,-5.9528380082889095e-05,0.00012455652645026715,0.00012455830111206005,-0.00020583222616195402,-0.1652203798269511,-0.8461741042326677,1.0,-0.0001476671568039853
F_torsion,-0.773087667765598,-0.7905859222049039,-0.3974883093886297,-0.8720088649299371,-0.7440771907932214,0.5136336611726674,nan,0.7522224945527963,0.8466268058143672,3.919321734058623e-05,0.000450058311531115,-0.513629169940648,-0.1788161979085039,-0.7522220173660497,-0.7522245696810158,3.7533231043945065e-05,0.0001329387649214586,-4.555451443146766e-05,-0.00014766715680398533,1.0
